Course_Code,Course_Title,Hours,Prerequisites,Coreq,Semester,Other_Pre-req,Other_Co-req
DFX 317,Virtual Sculpting for Digital Media,"Hours:, 1 classroom + 2 lab/studio",['DFX 245'],[],Fall,C or better in DFX 245  and Junior Standing,
DFX 320,Character Modeling,"Hours:, 1 classroom + 2 lab/studio",['DFX 309'],[],Spring only,Completion of DFX 309  with a C or better.,
DFX 330,Rigging and Animation,"Hours:, 1 classroom + 2 lab/studio",['DFX 309'],[],Fall only,Completion of DFX 309  with a C or better.,
DFX 340,Intermediate Interactive Media,"Hours:, 2 classroom + 1 lab/studio","['DFX 240', 'DFX 245']",[],Spring only,", & DFX 245  with a C or better in each course.",
DFX 352,Project Research Management,"Hours:, 1 classroom + 2 lab/studio","['DFX 309', 'DFX 340']",[],Fall,Completion of DFX 309  or DFX 340  with a C or better.,
DFX 375,Computer Games and Digital Society,"Hours:, 3 classroom + 0 lab/studio",[],[],Fall and spring,45 earned credit hours or instructor permision ,
DFX 381,Computer-Mediated Communication,"Hours:, 3 classroom + 0 lab/studio",[],[],Spring only,,
DFX 394,Topics: 3D Digital Design & VFX,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
DFX 396,Internship: 3D Digital Design & VFX  (1-3 credits),"Hours:, 0 classroom + 12 lab/studio",[],[],"Fall, spring, and summer",Written consent of supervising faculty member; junior or senior standing; and a GPA of at least 2.75.,
DFX 417,Adv. Virtual Sculpting for Digital Media,"Hours:, 1 classroom + 2 lab/studio",['DFX 317'],[],Fall only,Completion of DFX 317  with a C or better.,
DFX 420,Professional Practices,"Hours:, 3 classroom + 0 lab/studio",[],[],Spring only,75 earned credit hours or instructor permission,
DFX 426,Advanced Digital Compositing,"Hours:, 1 classroom + 2 lab/studio",['EMB 326'],[],"Variable, Check with Department",Completion of EMB 326  with a C or better.,
DFX 430,Advanced Rigging and Animation,"Hours:, 1 classroom + 2 lab/studio",['DFX 330'],[],"Variable, Check with Department",Completion of DFX 330  with a C or better.,
DFX 440,Advanced Interactive Media,"Hours:, 1 classroom + 2 lab/studio",['DFX 340'],[],"Variable, check with department",DFX 340  with a C or better.,
DFX 452,Advanced Portfolio Production,"Hours:, 2 classroom + 1 lab/studio",['DFX 352'],[],Spring only,Completion of DFX 352  with a C or better.,
DFX 492,Directed Research or Creative Work  (0-6 credits),"Hours:, 0 classroom + 0-6 lab/studio",[],[],"Variable, check with department",Junior Standing or Instructor Permission,
DFX 495,Study Abroad  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],"Variable, check with department",Varies by topic.,
DFX 496,Senior Practicum,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of instructor.,
DFX 499,Independent Study  (1-3 credits),"Hours:, 0 classroom + 4 -12 lab/studio",[],[],"Variable, check with department",Junior or senior standing and consent of instructor.,
ACC 150,Accounting for Non-Business Majors  (3 Credits),"Hours:, 3 classroom + 0 lab/studio",[],[],Not Provided,,
ACC 200,Introductory Financial Accounting,"Hours:, 3 classroom + 0 lab/studio","['MAT 102', 'STA 205', '205R']",[],Not Provided,Completion of MAT 102  or STA 205 /205R ,
ACC 201,Introductory Managerial Accounting,"Hours:, 3 classroom + 0 lab/studio",['ACC 200'],[],"Fall, spring, and summer",ACC 200,
ACC 202,Analysis of Accounting Information,"Hours:, 1 classroom + 0 lab/studio",['ACC 200'],[],"Fall, winter, and spring",ACC 200  with a C or better.,
ACC 294,Topics: Financial & Managerial Accounting  (1-5 credits),"Hours:, 1-5 classroom + 0 lab/studio",[],[],Variable-chck w/dept,,
ACC 300,Intermediate Accounting I,,"['ACC 200', 'ACC 201', 'ACC 202']",[],Fall and spring,"ACC 200 , ACC 201 , and ACC 202  with grades of C or better.",
ACC 301,Intermediate Accounting II,,['ACC 300'],[],Fall and spring,ACC 300  with a C or better.,
ACC 308,Financial Statement Analysis,"Hours:, 3 classroom + 0 lab/studio","['ACC 200', 'ACC 201']",[],Fall and spring,,
ACC 310,Accounting Information Systems,,"['ACC 200', 'ACC 201', 'ACC 202']",[],Fall and spring,"ACC 200 , ACC 201 , and  ACC 202  with grades of C or better",
ACC 320,Intro to Business & Individual Taxation,"Hours:, 3 classroom + 0 lab/studio","['ACC 200', 'ACC 201', 'ACC 300', 'BUS 230']",[],"Fall, spring, and summer","ACC 200 , ACC 201  and ACC 300  with grade of C or better and BUS 230 .",
ACC 330,Fraud Examination,"Hours:, 3 classroom + 0 lab/studio","['ACC 200', 'ACC 201', 'ACC 202']",[],Summer only,"ACC 200 , ACC 201 , ACC 202  with a grade of C or better.",
ACC 340,Data Analytics for Accounting,"Hours:, 3 Classroom + 0 Lab Studio","['ACC 200', 'ACC 201', 'ACC 202']",[],Fall and Spring,", ACC 201  , and ACC 202  with grades of C or better",
ACC 350,Management Cost Accounting I,,"['ACC 200', 'ACC 201', 'ACC 202']",[],Fall and spring,"ACC 200 , ACC 201  and ACC 202  with grades of C or better.",
ACC 392,Research Experience in Accounting  (0-3 credits),"Hours:, 0-3 Classroom + 0 Lab Studio",[],[],"Fall, spring, and summer",Consent of the instructor.,
ACC 394,Topics: Financial Accounting,"Hours:, 3 classroom + 0 lab/studio","['ACC 200', 'ACC 201']",[],"Variable, check with department",,
ACC 396,Internship: Accounting  (1-3 credits),"Hours:, 0 classroom + 3 lab/studio","['ACC 200', 'ACC 201']",[],"Fall, spring, and summer",,
ACC 400,Auditing,"Hours:, 3 classroom + 0 lab/studio",['ACC 301'],[],Fall and spring,ACC 301,
ACC 420,Advanced Tax Planning,"Hours:, 3 classroom + 0 lab/studio",['ACC 320'],[],"Variable, check with department",,
ACC 430,Advanced Accounting,"Hours:, 3 classroom + 0 lab/studio",['ACC 301'],['ACC 301'],"Variable, check with department",,
ACC 499,Independent Study: Accounting,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ACC 500,Auditing,,['ACC 301'],[],"Variable, check with department","Admission to the MAcc program, ACC 301  or ACC 604.",
ACC 520,Intro to Business & Individual Taxation,"Hours:, 3 classroom + 0 lab/studio","['ACC 200', 'ACC 201', 'ACC 202', 'BUS 230']",[],"Variable, check with department",", ACC 202 BUS 230 ACC 604",
ACC 550,Management Cost Accounting II,"Hours:, 3 classroom + 0 lab/studio",['ACC 350'],[],"Variable, check with department",ACC 350  with a grade of C or better; or ACC 600,
ASL 110,Beginning American Sign Language I,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check w/ department",,
ASL 111,Beginning American Sign Language II,"Hours:, 3 classroom + 0 lab/studio",['ASL 110'],[],"Variable, check w/ department",ASL 110 .,
ASL 201,American Sign Language III,"Hours:, 3 Classroom + 0 Lab Studio",['ASL 111'],[],Fall and Spring,"with a grade of C or better, or transfer equivalence",
ASL 202,American Sign Language IV,"Hours:, 3 classroom + 0 lab/studio",[],[],Spring only,,
ASL 326,Deaf Culture and Community,,[],[],Fall,Sophomore standing,
ASL 327,Deaf History in America,"Hours:, 3 classroom + 0 lab/studio",[],[],Fall only,Sophomore standing,
ASL 400,Aspects of Deaf Life,"Hours:, 3 classroom + 0 lab/studio",['ASL 326'],[],Spring only,,
ANT 100,Introduction to Cultural Anthropology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Fall, spring, and summer",,
ANT 110,Unearthing the Past: World Archaeology,"Hours:, 3 classroom + 0 lab/studio",[],[],Fall and spring,,
ANT 114,Great Archaeological Sites,"Hours:, 3 classroom + 0 lab/studio",[],[],"Fall, spring, and summer",,
ANT 194,Topics: Anthropology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 201,World Cultures,"Hours:, 3 classroom + 0 lab/studio",[],[],"Fall, spring, and summer",,
ANT 202,Biological Anthropology,"Hours:, 3 classroom + 2 lab/studio",[],[],Fall and spring,,
ANT 210,Introduction to Archaeological Methods and Theory,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 230,North American Indians,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 231,Modern American Indians,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 245,Peoples of Latin America and the Caribbean,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 270,Native Australia and Oceania,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 275,Language and Culture,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 280,Careers in Anthropology,"Hours:, 1 classroom + 0 lab/studio",[],[],Spring only,,
ANT 292,Research Experience in Anthropology,"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of Instructor.,
ANT 296,Teaching Experience in Anthropology,"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of Instructor.,
ANT 299,Independent Study in Anthropology  (1-6 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of the instructor.,
ANT 307,Museum Methods,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Sophomore standing or consent of instructor.,
ANT 308,Cultural Resource Management,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 309,Peoples of Africa,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 311,Museums in Contemporary Society,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 312,Social Organization,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 315,Archaeological Excavation Methods  (3-4 credits),"Hours:, 0 classroom + 6 lab/studio",[],[],Summer only,,
ANT 318,Prehistoric Ecology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 320,Religion and Culture,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 321,Medical Anthropology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Sophomore standing or consent of instructor.,
ANT 322,Health and Disease in Past Societies  (3 Credits),"Hours:, 3 classroom + 0 lab/studio",[],[],Variable-chck w/dept,Sophomore standing or consent of the instructor.,
ANT 325,Applied Anthropology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Sophomore standing or consent of instructor.,
ANT 328,Contemporary Issues in Anthropology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 330,"Sex, Gender, and Culture","Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Sophomore standing or consent of instructor.,
ANT 331,Women in Prehistory,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Sophomore standing or consent of instructor.,
ANT 333,Paleoanthropology Laboratory,"Hours:, 3 classroom + 0 lab/studio","['ANT 202', 'BIO 151']",[],"Variable, check with department.",ANT 202  or BIO 151  or consent of the instructor.,
ANT 334,Behavioral Field Methods,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department.",Sophomore standing or higher.,
ANT 336,Historical Archaeology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 340,Ethnographic Methods and Research,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Sophomore standing or consent of instructor.,
ANT 340S,Ethnographic Methods and Research,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",Sophomore standing or consent of instructor.,
ANT 342,Quantitative Methods in Anthropology,"Hours:, 3 classroom + 2 lab/studio",[],[],"Variable, check with department",,
ANT 345,Environmental Anthropology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 347,Primate Behavioral Ecology  (3 Credits),"Hours:, 3 classroom + 0 lab/studio",[],[],Variable-chck w/dept,Consent of the instructor.,
ANT 348,Evolution of Sex  (3 Credits),"Hours:, 3 classroom + 0 lab/studio","['ANT 202', 'BIO 151']",[],"Variable, check with department.",ANT 202  or BIO 151  or consent of instructor.,
ANT 350,North American Archaeology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 352,Archaeology of Mesoamerica,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 355,Archaeology Laboratory Analysis,"Hours:, 2 classroom + 2 lab/studio",[],[],"Variable, check with department",,
ANT 358,Art and Culture,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 360,Mesoamerican Indians,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 365,Ethnographic Field Methods,"Hours:, 4 classroom + 0 lab/studio",[],[],Summer only,Consent of instructor.,
ANT 370,Celtic Europe,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 371,Psychological Anthropology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 372,Peasant Societies,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 375,Anthropology of Aging,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 376,Irish Society Through Film,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department.",Sophomore standing or consent of instructor.,
ANT 380,Origins of Civilization,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 381,European Archaeology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 382,Visual Anthropology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 385,Peoples of East and Southeast Asia,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 386,"Economy, Wealth and Culture","Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 394,Topics: Anthropology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 395,Study Abroad: Anthropology  (1-6 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of instructor.,
ANT 396,Museum Internship  (3-6 credits),"Hours:, 0 classroom + 3-6 lab/studio",[],[],"Variable, check with department",,
ANT 401,Anthropological Theory,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 480,Anthropology Capstone,"Hours:, 1 classroom + 0 lab/studio",[],[],Fall,Consent of instructor.,
ANT 492,Directed Research: Anthropology  (1-6 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of instructor.,
ANT 496,Teaching Experience in Anthropology  (1-2 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of instructor.,
ANT 497,Research Assistantship: Anthropology  (1-6 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of instructor.,
ANT 498,External Internship: Anthropology  (1-6 credits),"Hours:, 0 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of instructor.,
ANT 499,Independent Study in Anthropology  (1-6 credits),"Hours:, 1-6 classroom + 0 lab/studio",[],[],"Variable, check with department",Junior or senior standing or consent of the instructor.,
ANT 515,Advanced Archaeological Excavation Methods,"Hours:, 0 classroom + 6 lab/studio",['ANT 315'],[],Summer only,ANT 315 .,
ANT 565,Advanced Ethnographic Field Methods,"Hours:, 4 classroom + 0 lab/studio",['ANT 365'],[],Summer only,ANT 365  or consent of the instructor.,
ANT 594,Topics: Anthropology,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ANT 599,Independent Study  (1-6 credits),"Hours:, 1-6 classroom + 0 lab/studio",[],[],"Variable, check with department",Consent of the instructor.,
ASE 220,Full-Stack Application Development  (3 credit hours),"Hours:, 3 credit hours + o lab/studio hours","['INF 286', 'INF 120']",[],Spring only,,
ASE 230,Server-Side Programming,"Hours:, 3 classroom + 0 lab/studio",['INF 286'],[],Fall,C- or better in INF 286,
ASE 285,Software Engineering & Sec. Fundamentals  (3 credit hours),,['ASE 220'],[],Spring only,,
ASE 292,Introductory Research Experience in ASE  (0-3 credit hours),"Hours:, 0 credit hour / 0 lab+studio hours",[],[],"Variable, check with department",,
ASE 305,Peer Teaching Assistant Training  (3 credit hours),"Hours:, 3 credit hours / 0 lab+studio hours",[],[],Fall and spring,,
ASE 306,ASE Department Peer Mentorship  (0-2 credit hours),"Hours:, 0-2 credit hour / 0 lab+studio hours",[],[],Fall and spring,,
ASE 330,Human-Computer Interaction,"Hours:, 3 classroom + 0 lab/studio","['ASE 230', 'ASE 220']",[],Fall only,,
ASE 392,Intermediate Research Experience in ASE  (0-3 credit hours),"Hours:, 0 credit hour / 0 lab+studio hours",[],[],"Variable, check with department",,
ASE 394,Topics: Applied Software Engineering  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ASE 396,Applied Software Engineering Practicum  (0-3 credit hours),"Hours:, 0 credit hour / 0 lab+studio hours",['ASE 456'],[],"Variable, check with department",,
ASE 420,Software Design,"Hours:, 3 classroom + 0 lab/studio",['CSC 360'],[],Fall only,,
ASE 456,Cross-Platform Development,"Hours:, 3 classroom + 0 lab/studio","['ASE 220', 'ASE 230']",[],Fall,"Junior standing or higher, and C- or better in ASE 220  or ASE 230",
ASE 485,Applied Software Engineering Capstone  (3 credit hours),"Hours:, 3 credit hours + o lab/studio hours","['ASE 230', 'ASE 285', 'ASE 456', 'CSC 350']",[],Spring only,,
ASE 494,Adv Topics: Applied Software Engineering  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],"Variable, check with department",Varies with topic (see schedule of classes).,
ARI 101,Elementary Arabic I,"Hours:, 3 classroom + 0 lab/studio",[],[],Fall only,,
ARI 102,Elementary Arabic II,"Hours:, 3 classroom + 0 lab/studio",[],[],Spring only,,
ARI 201,Intermediate Arabic I,"Hours:, 3 classroom + 0 lab/studio",['ARI 102'],[],"Variable, check with department",,
ARI 202,Intermediate Arabic II,"Hours:, 3 classroom + 0 lab/studio",['ARI 201'],[],"Variable, check with department",,
ARI 299,Independent Study: Arabic,"Hours:, 3 classroom + 0 lab/studio","['ARI 101', 'ARI 102']",[],Fall and spring,,
ARI 380,Topics in Advanced Arabic,"Hours:, 3 classroom + 0 lab/studio",['ARI 202'],[],"Variable, check with department",,
ARI 520,Readings in Arabic,"Hours:, 3 classroom + 0 lab/studio",['ARI 380'],[],"Variable, check with department",,
AST 110,Solar System Astronomy with Laboratory,"Hours:, 3 classroom + 2 lab/studio",[],[],"Fall, spring, and summer",,
AST 115,"Stars, Galaxies, and Cosmology with Laboratory","Hours:, 3 classroom + 2 lab/studio",[],[],"Fall, spring, and summer",,
AST 120,Astrophysics for Beginners  (3 Credits),"Hours:, 3 classroom + 0 lab/studio",[],[],Fall and Spring,,
AST 210,Backyard Astronomy,"Hours:, 2 classroom + 2 lab/studio","['MAT 102', 'AST 110', 'AST 115']",[],"Variable, check with department","MAT 102  or placement, AST 110  or AST 115 .",
AST 294,Topics: Astronomy  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
AST 310,Astronomical Techniques,"Hours:, 2 classroom + 1 lab/studio","['PHY 224', 'PHY 213', 'MAT 129', 'MAT 227']",[],"Variable, check with department","PHY 224  or PHY 213 , and MAT 129  or MAT 227 .",
AST 315,Introductory Astrophysics,"Hours:, 3 classroom + 0 lab/studio","['MAT 129', 'MAT 227', 'PHY 222', 'PHY 213']",[],"Variable, check with department",,
AST 325,Geology of the Planets,"Hours:, 3 classroom + 0 lab/studio","['GLY 110', 'AST 110']",[],"Variable, check with department",GLY 110  or AST 110 .,
AST 392,Directed Research: Astronomy  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
AST 394,Topics: Astronomy,"Hours:, 3 classroom + 0 lab/studio",['AST 115'],[],"Variable, check with department",,
AST 397,Special Projects: Astronomy  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
AST 399,Independent Study in Astronomy  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",['AST 394'],[],"Variable, check with department",,
AST 492,Directed Research: Astronomy  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
ATP 200,Medical History and Documentation,"Hours:, 1 classroom + 0 lab/studio",[],['ATP 201'],Fall and spring,,ATP 201  and ATP 280 .
ATP 201,"ROM, Goniometry, and Manual Muscle Test","Hours:, 0 classroom + 2 lab/studio",[],['ATP 200'],Fall and spring,,ATP 200  and ATP 280 .
ATP 333,Lower Extremity Evaluation,"Hours:, 2 classroom + 0 lab/studio","['KIN 280', 'ATP 200', 'ATP 201', 'BIO 208', 'BIO 208L']",['ATP 333L'],Spring only,"KIN 280 , ATP 280 , ATP 200 , ATP 201 , BIO 208  and BIO 208L .",ATP 333L .
ATP 333L,Lower Extremity Evaluation Lab,"Hours:, 0 classroom + 2 lab/studio",[],['ATP 333'],"Variable, check with department",,ATP 333 .
ATP 334,Upper Extremity Evaluation,"Hours:, 2 classroom + 0 lab/studio","['ATP 200', 'ATP 201', 'KIN 280', 'BIO 208', 'BIO 208L']",['ATP 334L'],Fall only,"ATP 200 , ATP 201 , ATP 280 , KIN 280 , BIO 208 , and BIO 208L .",ATP 334L .
ATP 334L,Upper Extremity Evaluation Lab,"Hours:, 0 classroom + 2 lab/studio",[],['ATP 334'],"Variable, check with department",,ATP 334 .
ATP 335,Head and Spine Evaluation,"Hours:, 3 classroom + 0 lab/studio","['ATP 200', 'ATP 201', 'KIN 280', 'BIO 208', 'BIO 208L']",[],Spring only,"ATP 200 , ATP 201 , ATP 280 , KIN 280 , BIO 208 , and BIO 208L .",
ATP 425,Therapeutic Modalities,"Hours:, 3 classroom + 0 lab/studio","['BIO 208', 'BIO 208L', 'BIO 209', 'BIO 209L']",['ATP 425L'],Fall only,"ATP 280 , BIO 208 , BIO 208L , BIO 209 , and BIO 209L .",ATP 425L .
ATP 425L,Therapeutic Modalities Lab,"Hours:, 0 classroom + 2 lab/studio",[],['ATP 425'],"Variable, check with department",,ATP 425 .
ATP 440,Rehabilitation of Athletic Injuries,"Hours:, 3 classroom + 0 lab/studio","['ATP 334', 'ATP 334L', 'BIO 208', 'BIO 208L', 'BIO 209', 'BIO 209L', 'KIN 370']",['ATP 440L'],Spring only,"ATP 334 , ATP 334L , BIO 208 , BIO 208L , BIO 209 , BIO 209L , and KIN 370 .",ATP 440L .
ATP 440L,Rehabilitation of Athletic Injuries Lab,"Hours:, 0 classroom + 2 lab/studio",[],['ATP 440'],"Variable, check with department",,ATP 440 .
ATP 450,Senior Teaching and Research Seminar,"Hours:, 0 classroom + 0 lab/studio",[],[],Fall and spring,ATP 350 .,ATP 467 .
ATP 499,Independent Study in Athletic Training  (1-6 credits),"Hours:, 1-6 classroom + 0 lab/studio",[],[],"Variable, check with department",Junior or senior standing.,
BIO 120,Understanding the Living World,"Hours:, 3 classroom + 0 lab/studio","['MAT 101', 'MAT 102']",['BIO 120L'],"Fall, spring, and summer","Math ACT of 19 or higher, P in MAT 101 , or C- or better or higher in MAT 102  or higher.",BIO 120L .
BIO 120L,Understanding the Living World Laboratory,"Hours:, 0 classroom + 2 lab/studio",[],['BIO 120'],"Fall, spring, and summer",,
BIO 121,Diseases and the Systems they Affect,,"['MAT 101', 'MAT 102', 'STA 205R', 'MAT 115R']",[],Spring only,"Math ACT of 19 or higher (or equivalent placement), P in MAT 101 , or C- or better or higher in MAT 102  or higher or successful completion of STA 205R  or MAT 115R  .",
BIO 121L,Diseases and the Systems they Affect Laboratory,"Hours:, 0 classroom + online 2 lab/studio",[],[],Spring only,,
BIO 123,Human Ecology,"Hours:, 3 classroom + 0 lab/studio","['MAT 101', 'MAT 102', 'STA 205R', 'MAT 115R']",[],Spring only,"Math ACT of 19 or higher (or equivalent placement), P in MAT 101 , or C- or better or higher in MAT 102  or higher or successful completion of STA 205R  or MAT 115R  .",
BIO 125,Biological Perspectives of Wellness,"Hours:, 3 classroom + 0 lab/studio","['MAT 101', 'MAT 102', 'STA 205R', 'MAT 115R']",[],"Fall, spring, and summer","Math ACT of 19 or higher (or equivalent placement), P in MAT 101 , or C- or better or higher in MAT 102  or higher or successful completion of STA 205R  or MAT 115R  .",
BIO 126,Human Nutrition,"Hours:, 3 classroom + 0 lab/studio","['MAT 101', 'MAT 102', 'STA 205R', 'MAT 115R']",[],"Fall, spring, and summer","Math ACT of 19 or higher (or equivalent placement), P in MAT 101 , or C- or better or higher in MAT 102  or higher or successful completion of STA 205R  or MAT 115R  .",
BIO 150,Introduction to Biology I,"Hours:, 3 classroom + 0 lab/studio","['MAT 101', 'MAT 102']",['BIO 150L'],Fall and spring,"Math ACT of 22 or higher (or equivalent placement), P in MAT 101 , or C- or better or higher in MAT 102  or higher.",BIO 150L .
BIO 150L,Introduction to Biology I Laboratory,"Hours:, 0 classroom + 3 lab/studio",[],['BIO 150'],Fall and spring,,
BIO 151,Introduction to Biology II,"Hours:, 3 classroom + 0 lab/studio",['BIO 150'],['BIO 151L'],Fall and spring,BIO 150  with a C- or better.,BIO 151L .
BIO 151L,Introduction to Biology II Laboratory,"Hours:, 0 classroom + 3 lab/studio",[],['BIO 151'],Fall and spring,,BIO 151 .
BIO 155,Orientation to Biology,"Hours:, 1 classroom + 0 lab/studio",[],[],Fall and spring,,
BIO 158,Diversity of Life: Microbes to Humans,"Hours:, 3 classroom + 0 lab/studio",[],[],"Variable, check with department",,
