Course Code,Course Title,Hours,Prerequisites
MUSA 225,Applied Percussion  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 226,Applied Secondary Percussion  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio","MUSA 196 ., MUSA 196"
MUSA 230,Applied Violin  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 231,Applied Viola  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 232,Applied Cello  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 233,Applied Bass  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 240,Applied Voice  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 245,Applied Composition  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 250,Applied Jazz Saxophone  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio",
MUSA 251,Applied Jazz Trumpet  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio","MUSA 196 ., MUSA 196"
MUSA 252,Applied Jazz Trombone  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio","MUSA 196 ., MUSA 196"
MUSA 253,Applied Jazz Guitar  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 254,Applied Jazz Piano  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 255,Applied Jazz Bass  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 256,Applied Jazz Percussion  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",
MUSA 257,Applied Jazz Voice  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio","MUSA 196 ., MUSA 196"
MUSA 296,Sophomore Comprehensive Jury,"Hours:, 0 classroom + 0 lab/studio",
MUSA 301,Applied Flute  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 302,Applied Oboe  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 303,Applied Clarinet  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 304,Applied Bassoon  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 305,Applied Saxophone  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 310,Applied French Horn  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 311,Applied Trumpet  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 312,Applied Trombone  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 313,Applied Euphonium  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 314,Applied Tuba  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 320,Applied Piano  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 321,Applied Organ  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 322,Applied Harpsichord  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 323,Applied Harp  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio","MUSA 296 ., MUSA 296"
MUSA 324,Applied Guitar  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 325,Applied Percussion  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 330,Applied Violin  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 331,Applied Viola  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 332,Applied Cello  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 333,Applied Bass  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 340,Applied Voice  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 345,Applied Composition  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 350,Applied Jazz Saxophone  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio","MUSA 296 ., MUSA 296"
MUSA 351,Applied Jazz Trumpet  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio","MUSA 296 ., MUSA 296"
MUSA 352,Applied Jazz Trombone  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio","MUSA 296 ., MUSA 296"
MUSA 353,Applied Jazz Guitar  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio","MUSA 296 ., MUSA 296"
MUSA 354,Applied Jazz Piano  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 355,Applied Jazz Bass  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio","MUSA 296 ., MUSA 296"
MUSA 356,Applied Jazz Percussion  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio","MUSA 296 ., MUSA 296"
MUSA 357,Applied Jazz Voice  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio","MUSA 296 ., MUSA 296"
MUSA 396,Junior Recital,"Hours:, 0 classroom + 0 lab/studio","MUSA 296 ., MUSA 296"
,,"Hours:, 0 classroom + 0 lab/studio","MUSA 296 ., MUSA 296"
MUSA 401,Applied Flute  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 402,Applied Oboe  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 403,Applied Clarinet  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 404,Applied Bassoon  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 405,Applied Saxophone  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 410,Applied French Horn  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 411,Applied Trumpet  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 412,Applied Trombone  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 413,Applied Euphonium  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 414,Applied Tuba  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 420,Applied Piano  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 421,Applied Organ  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 422,Applied Harpsichord  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 423,Applied Harp  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 424,Applied Guitar  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 425,Applied Percussion  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 430,Applied Violin  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 431,Applied Viola  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 432,Applied Cello  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 433,Applied Bass  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 440,Applied Voice  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 445,Applied Composition  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 450,Applied Jazz Saxophone  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio","MUSA 296 ., MUSA 296"
MUSA 451,Applied Jazz Trumpet  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio","MUSA 296 ., MUSA 296"
MUSA 452,Applied Jazz Trombone  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio","MUSA 296 ., MUSA 296"
MUSA 453,Applied Jazz Guitar  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 454,Applied Jazz Piano  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 455,Applied Jazz Bass  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 456,Applied Jazz Percussion  (1-2 credits),"Hours:, 0 classroom + .5-1 lab/studio",MUSA 296
MUSA 457,Applied Jazz Voice  (1-2 credits),"Hours:, 0 classroom + 1-2 lab/studio","MUSA 296 ., MUSA 296"
MUSA 496,Senior Recital,"Hours:, 0 classroom + 0 lab/studio","MUSA 296 ., MUSA 296"
,,"Hours:, 0 classroom + 0 lab/studio","MUSA 296 ., MUSA 296"
MUSE 301,The Northern Chorale  (0-1 credits),,Audition.
,,"Hours:, 0 classroom + 3 lab/studio",Audition.
MUSE 305,NKU Philharmonic  (0-1 credits),"Hours:, 0 classroom + 3 lab/studio",Audition.
,,"Hours:, 0 classroom + 3 lab/studio",Audition.
MUSE 306,University Concert Band  (0-1 credits),"Hours:, 0 classroom + 3 lab/studio",At least 3 years experience playing an instrument.
,,"Hours:, 0 classroom + 3 lab/studio",At least 3 years experience playing an instrument.
MUSE 307,Symphonic Winds  (0-1 credits),"Hours:, 0 classroom + 6 lab/studio",Audition.
,,"Hours:, 0 classroom + 6 lab/studio",Audition.
MUSE 308,Jazz Ensemble  (0-1 credits),"Hours:, 0 classroom + 5 lab/studio",Audition.
,,"Hours:, 0 classroom + 5 lab/studio",Audition.
MUSE 309,Steel Drum Ensemble  (0-1 credits),"Hours:, 0 classroom + 3 lab/studio",Audition.
,,"Hours:, 0 classroom + 3 lab/studio",Audition.
MUSE 320,Guitar Ensemble  (0-1 credits),"Hours:, 0 classroom + 3 lab/studio","MUS 148  or consent of instructor., MUS 148"
,,"Hours:, 0 classroom + 3 lab/studio","MUS 148  or consent of instructor., MUS 148"
MUSE 321,Chamber Choir  (0-1 credits),"Hours:, 0 classroom + 6 lab/studio",Audition.
,,"Hours:, 0 classroom + 6 lab/studio",Audition.
MUSE 322,Women’s Ensemble  (0-1 credits),"Hours:, 0 classroom + 3 lab/studio",Must be able to read music rudimentally.
,,"Hours:, 0 classroom + 3 lab/studio",Must be able to read music rudimentally.
MUSE 323,Low Voice Choir  (0-1 Credits),"Hours:, 0 classroom + 0-1 lab/studio",Must be able to read music rudimentally.
MUSE 324,Opera Workshop  (0-2 credits),"Hours:, 0 classroom + 3 lab/studio",Audition.
,,"Hours:, 0 classroom + 3 lab/studio",Audition.
MUSE 325,Chamber Orchestra  (0-1 credits),"Hours:, 0 classroom + 6 lab/studio",Audition.
MUSE 328,Jazz Combo  (0-1 credits),"Hours:, 0 classroom + 3 lab/studio",Audition.
,,"Hours:, 0 classroom + 3 lab/studio",Audition.
MUSE 329,Vocal Jazz Ensemble  (0-1 credits),"Hours:, 0 classroom + 3 lab/studio",Audition.
,,"Hours:, 0 classroom + 3 lab/studio",Audition.
MUSE 330,Chamber Music Ensembles  (0-1 credits),"Hours:, 0 classroom + 1-3. lab/studio",Audition.
,,"Hours:, 0 classroom + 1-3 lab/studio",Audition.
MUSM 104,Orientation to Music Education  (1 credit),"Hours:, 1 classroom + 0 lab/studio",
MUSM 109,Recital Review,"Hours:, 0 classroom + 1 lab/studio",
MUSM 110,Introduction to Music Theory,"Hours:, 3 classroom + 0 lab/studio",
MUSM 111,Music Theory I,"Hours:, 3 classroom + 0 lab/studio","Adequate score on music theory placement test, or C or better in MUSM 110 ., MUSM 110"
MUSM 112,Music Theory II,"Hours:, 3 classroom + 0 lab/studio",MUSM 111
MUSM 122,Aural Skills I  (1 credit),"Hours:, 0 classroom + 3 lab/studio",
MUSM 124,Aural Skills II  (1 credit),"Hours:, 0 classroom + 3 lab/studio","C or better in MUSM 122 ., MUSM 122"
MUSM 132,Class Piano I  (1 credit),"Hours:, 0 classroom + 3 lab/studio",
MUSM 134,Class Piano II  (1 credit),"Hours:, 0 classroom + 3 lab/studio","C or better in MUSM 132 ., MUSM 132"
MUSM 194,Music: Experimental  (1 credit),"Hours:, 1-3 classroom + 0 lab/studio",
MUSM 211,Music Theory III,"Hours:, 3 classroom + 0 lab/studio",MUSM 112
MUSM 212,Music Theory IV,"Hours:, 3 classroom + 0 lab/studio",MUSM 211
MUSM 222,Aural Skills III  (1 credit),"Hours:, 0 classroom + 3 lab/studio","C or better in MUSM 124 ., MUSM 124"
MUSM 224,Aural Skills IV  (1 credit),"Hours:, 0 classroom + 3 lab/studio","C or better in MUSM 222 ., MUSM 222"
MUSM 232,Class Piano III  (1 credit),"Hours:, 0 classroom + 3 lab/studio","C or better in MUSM 134 ., MUSM 134"
MUSM 234,Class Piano IV  (1 credit),"Hours:, 0 classroom + 3 lab/studio","C or better in MUSM 232 ., MUSM 232"
MUSM 241,History of Music I: Antiquity through Early Baroque,"Hours:, 3 classroom + 0 lab/studio",
MUSM 242,History of Music II: Late Baroque to Mid 19th Century,"Hours:, 3 classroom + 0 lab/studio",
MUSM 251,Yoga for Creativity  (2 Credits),"Hours:, 0 classroom + 2 lab/studio",
MUSM 261,Applied Methods and Materials: Brass  (1 credit),"Hours:, 3 classroom + 0 lab/studio",Pre-Music Education or Music Education
MUSM 262,Applied Methods and Materials: Woodwinds  (1 credit),"Hours:, 3 classroom + 0 lab/studio",Pre-Music Education or Music Education
MUSM 263,Applied Methods and Materials: Strings  (1 credit),"Hours:, 3 classroom + 0 lab/studio",
MUSM 264,Applied Methods and Materials: Percussion  (1 credit),"Hours:, 3 classroom + 0 lab/studio",
MUSM 271,Group Jazz Piano I  (1 credit),"Hours:, 0 classroom + 3 lab/studio","C or better in MUSM 134 ., MUSM 134"
MUSM 272,Group Jazz Piano II  (1 credit),"Hours:, 0 classroom + 3 lab/studio","C or better in MUSM 271 ., MUSM 271"
MUSM 273,Jazz Improvisation I,"Hours:, 3 classroom + 0 lab/studio",
MUSM 274,Jazz Improvisation II,"Hours:, 3 classroom + 0 lab/studio","C- or better in MUSM 273 ., MUSM 273"
MUSM 296,Piano Proficiency,"Hours:, 0 classroom + 0 lab/studio",
MUSM 305,Ensemble Accompanying,"Hours:, 0 classroom + 2 lab/studio",
MUSM 309,Introduction to Music Education,"Hours:, 3 classroom + 0 lab/studio","MUSM 104, EDU 104"
MUSM 311,Form and Analysis,"Hours:, 3 classroom + 0 lab/studio","C or better in MUSM 212  and MUSM 222 ., MUSM 212, MUSM 222"
MUSM 312,Computer Applications for Musicians  (1 credit),"Hours:, 3 classroom + 0 lab/studio","MUSM 110   or MUSM 111, MUSM 110, MUSM 111, Prerequisite OR Co-requisite:, MUSM 111, Co-requisite(s):, MUSM 111, MUSM 111"
MUSM 313,Orchestration,"Hours:, 3 classroom + 0 lab/studio","MUSM 112 ., MUSM 112"
MUSM 315,Materials and Techniques of Music Composition,"Hours:, 3 classroom + 0 lab/studio","MUSM 112 ., MUSM 112"
MUSM 316,Counterpoint,"Hours:, 3 classroom + 0 lab/studio","MUSM 212 ., MUSM 212"
MUSM 331,Keyboard Literature I,"Hours:, 3 classroom + 0 lab/studio","MUSM 241  and MUSM 242 ., MUSM 241, MUSM 242"
MUSM 332,Keyboard Literature II,"Hours:, 3 classroom + 0 lab/studio","MUSM 331 ., MUSM 331"
MUSM 334,Basic Piano Pedagogy,"Hours:, (3 classroom + 0 lab/studio)",MUSA 120
MUSM 335,Advanced Piano Pedagogy,"Hours:, 3 classroom + 0 lab/studio",MUSM 334
MUSM 341,Vocal Literature,"Hours:, 3 classroom + 0 lab/studio","MUSM 241 -MUSM 242  or consent of instructor., MUSM 241, MUSM 242"
MUSM 342,Choral Literature,"Hours:, 3 classroom + 0 lab/studio","MUSM 242 ., MUSM 242"
MUSM 343,Opera Literature,"Hours:, 3 classroom + 0 lab/studio",
MUSM 344,Lyric Diction I  (1 credit),"Hours:, 1 classroom + 0 lab/studio","MUSM 110  or MUSM 111 ., MUSM 110, MUSM 111"
MUSM 345,Lyric Diction II  (1 credit),"Hours:, 1 classroom + 0 lab/studio","MUSM 344 ., MUSM 344"
MUSM 351,Commercial Music Production I,"Hours:, 3 classroom + 0 lab/studio","MUSM 312 ., MUSM 312"
MUSM 352,Commercial Music Production II,"Hours:, 3 classroom + 0 lab/studio","MUSM 351 ., MUSM 351"
MUSM 353,History of Music III: Mid 19th and 20th Centuries,"Hours:, 3 classroom + 0 lab/studio",MUSM 112
MUSM 360,General and Vocal Music P-8,"Hours:, 3 classroom + 0 lab/studio","MUSM 309 , EDU 311  and Passing of Music Education Four Semester Check., MUSM 309, EDU 311"
MUSM 361,Teaching Choral Music: Middle Grades,"Hours:, 2 classroom + 0 lab/studio","EDU 311  and C or better in MUSM 365  and Passing of Music Education Four Semester Check., EDU 311, MUSM 365"
MUSM 362,Teaching Choral Music: Secondary,"Hours:, 2 classroom + 0 lab/studio","EDU 311  and C or better in MUSM 365  and Passing of Music Education Four Semester Check., EDU 311, MUSM 365"
MUSM 363,Teaching Instrumental Music: Middle Grades,,"EDU 311  and C or better in MUSM 365  and Passing of Music Education Four Semester Check., EDU 311, MUSM 365"
MUSM 364,Teaching Instrumental Music: Secondary,"Hours:, 2 classroom + 0 lab/studio","EDU 311  and C or better in MUSM 365  and Passing of Music Education Four Semester Check., EDU 311, MUSM 365"
MUSM 365,Conducting I,"Hours:, 3 classroom + 0 lab/studio",MUSM 111
MUSM 366,Conducting II,"Hours:, 2 classroom + 0 lab/studio","C or better in MUSM 365  or consent of instructor., MUSM 365"
MUSM 367,Marching Band Techniques,"Hours:, 3 classroom + 0 lab/studio",MUSM 212
MUSM 371,Jazz & Commercial Music Theory,"Hours:, 3 classroom + 0 lab/studio","MUSM 112  with a C or better., MUSM 112"
MUSM 373,Jazz Arranging I,"Hours:, 3 classroom + 0 lab/studio",MUSM 112
MUSM 374,Jazz Arranging II,"Hours:, 3 classroom + 0 lab/studio",MUSM 373
MUSM 375,History of Jazz  (1-3 credits),"Hours:, 3 classroom + 0 lab/studio","MUSM 353 ., MUSM 353"
MUSM 380,Music Composition for Commercial Media,"Hours:, 3 classroom +0 lab/studio","MUSM 381  or MUSM 351, MUSM 381, MUSM 351"
MUSM 381,Music Technology I,"Hours:, 3 classroom +0 lab/studio","MUSM 312 ., MUSM 312"
MUSM 382,Music Technology II,"Hours:, 3 classroom + 0 lab/studio","MUSM 381 ., MUSM 381"
MUSM 383,Mixing Techniques I,"Hours:, 3 classroom +0 lab/studio","MUSM 351  or MUSM 381, MUSM 351, MUSM 381"
MUSM 384,Mixing Techniques II,"Hours:, 3 classroom + 0 lab/studio","MUSM 383 ., MUSM 383"
MUSM 394,Special Topics in Music  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
MUSM 399,Independent Study: Music  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio",
MUSM 441,Vocal Pedagogy,"Hours:, 2 classroom + 0 lab/studio","4 semester hours of MUSA 140 ., MUSA 140"
MUSM 471,Jazz Styles and Analysis,"Hours:, 3 classroom + 0 lab/studio","MUSM 274 , MUSM 374 , MUSM 375 , and 8 semester hours of MUSA courses., MUSM 274, MUSM 374, MUSM 375"
MUSM 472,Jazz Pedagogy,"Hours:, 3 classroom + 0 lab/studio","MUSM 375 ., MUSM 375"
MUSM 487,Advanced Music Production,"Hours:, 3 classroom +0 lab/studio","MUSM 380, MUSM 380"
MUSM 496,Senior Capstone  (0-4 credits),"Hours:, 0 classroom + 0-4 Lab Hours","MUSA 296 ., MUSA 296"
NEU 101,Neuroscience for Life: Sex to Society  - SB,"Hours:, 3 classroom + 0 lab/studio",
NEU 150,Orientation to Neuroscience  (1 credit),"Hours:, 1 classroom + 0 lab/studio",
NEU 301,Neuroanatomy,"Hours:, 3 classroom + 0 lab/studio","BIO 151  or PSY 100 ., BIO 151, PSY 100, Co-requisite(s):, NEU 301L ., NEU 301L"
,,"Hours:, 0 classroom + 3 lab/studio","BIO 151  and PSY 100 ., BIO 151, PSY 100, Co-requisite(s):, NEU 301 ., NEU 301"
NEU 302,Neurosignaling,"Hours:, 3 classroom + 0 lab/studio","BIO 151  or PSY 100 ., BIO 151, PSY 100, Co-requisite(s):, NEU 302L ., NEU 302L"
,,"Hours:, 0 classroom + 3 lab/studio","BIO 151  or PSY 100 ., BIO 151, PSY 100, Co-requisite(s):, NEU 302 ., NEU 302"
NEU 401,"Brain, Behavior and Immunity","Hours:, 3 classroom + 0 lab/studio","NEU 301   or NEU 302  or PSY 311  or BIO 349, NEU 301, NEU 302, PSY 311, BIO 349, Co-requisite(s):, NEU 401L"
,,"Hours:, (0 classroom + 3 lab/studio)",
NEU 491,Neuroscience Capstone,"Hours:, 0 classroom + 9 lab/studio",Permission of neuroscience program director.
NEU 492,Neuroscience Research  (1-3 credits),"Hours:, 0 classroom + 3-9 lab/studio","BIO 291W  and permission of instructor., BIO 291W"
NEU 493,Neuroscience Seminar  (1 credit),"Hours:, 1 classroom + 0 lab/studio","PSY 311  or consent of instructor., PSY 311"
NEU 494,Special Topics in Neuroscience,"Hours:, 3 classroom + 0 lab/studio","BIO 291W ., BIO 291W"
NEU 495,Neuroscience Study Abroad  (1-3 credits),"Hours:, 1-3 classroom + 0 lab/studio","BIO 291W  and permission of instructor., BIO 291W"
NEU 496,Neuroscience Internship  (1-3 credits),"Hours:, 0 classroom + 3-9 lab/studio","BIO 291W  and permission of Neuroscience Program Director., BIO 291W"
NEU 499,Independent Study in Neuroscience  (1-3 credits),"Hours:, 0 classroom + 3-9 lab/studio","BIO 291W  and permission of instructor., BIO 291W"
NRS 201,Transition to Nursing  (1 credit),"Hours:, 1 classroom + 0 lab/studio",
